Round,Time,Best Solution Stakeholder,Best Solution Fitness,Distance-Cooperative-Selfless,Distance-Competitive-Selfless,Balanced-Cooperative-Selfless,Time-Cooperative-Selfless,Balanced-Competitive-Selfless,Time-Competitive-Selfless
38,2022-04-12 09:07:05.285776,Distance-Cooperative-Selfless,0.42996256387628423,0.42996256387628423,0.35096209851452104,0.42924650894239086,0.42703394861431193,0.32110478022636335,0.294591839782135
39,2022-04-12 09:07:35.941655,Distance-Cooperative-Selfless,0.42996256387628423,0.42996256387628423,0.3493152780211062,0.42996256387628423,0.42924650894239086,0.3248873374514122,0.29563323610269604
40,2022-04-12 09:08:06.610682,Time-Cooperative-Selfless,0.4304283558836406,0.42996256387628423,0.3515571658729088,0.42996256387628423,0.4304283558836406,0.32617260361545175,0.29563323610269604
41,2022-04-12 09:08:37.327433,Balanced-Cooperative-Selfless,0.4313351510212646,0.43118616647182967,0.3515571658729088,0.4313351510212646,0.4309686592942015,0.32617260361545175,0.29563323610269604
42,2022-04-12 09:09:07.962858,Time-Cooperative-Selfless,0.4318553692551606,0.43118616647182967,0.3518666006818051,0.4313351510212646,0.4318553692551606,0.3284889874995919,0.29563323610269604
43,2022-04-12 09:09:38.669127,Time-Cooperative-Selfless,0.43844270033810817,0.43118616647182967,0.3518666006818051,0.4318553692551606,0.43844270033810817,0.3284889874995919,0.29563323610269604
44,2022-04-12 09:10:09.424230,Time-Cooperative-Selfless,0.44056384737271226,0.4335565120836636,0.3518666006818051,0.43844270033810817,0.44056384737271226,0.3309398825982258,0.29563323610269604
45,2022-04-12 09:10:40.171416,Distance-Cooperative-Selfless,0.44056384737271226,0.44056384737271226,0.3518666006818051,0.44056384737271226,0.44056384737271226,0.3361882654320462,0.29563323610269604
46,2022-04-12 09:11:10.933242,Balanced-Cooperative-Selfless,0.44349688311929736,0.44056384737271226,0.3518666006818051,0.44349688311929736,0.44349688311929736,0.3361882654320462,0.29616440763998847
47,2022-04-12 09:11:41.608169,Distance-Cooperative-Selfless,0.44349688311929736,0.44349688311929736,0.3518666006818051,0.44349688311929736,0.44349688311929736,0.3376170580827332,0.29616440763998847
48,2022-04-12 09:12:12.333913,Time-Cooperative-Selfless,0.44433407236130606,0.44349688311929736,0.3614705751196823,0.44349688311929736,0.44433407236130606,0.34264484910953663,0.29616440763998847
49,2022-04-12 09:12:42.897388,Distance-Cooperative-Selfless,0.44433407236130606,0.44433407236130606,0.3614705751196823,0.44433407236130606,0.44433407236130606,0.34264484910953663,0.29616440763998847
50,2022-04-12 09:13:13.398074,Balanced-Cooperative-Selfless,0.4451295025320606,0.44433407236130606,0.3614705751196823,0.4451295025320606,0.44433407236130606,0.34264484910953663,0.29616440763998847
51,2022-04-12 09:13:44.011629,Distance-Cooperative-Selfless,0.450823242225774,0.450823242225774,0.36088226713767746,0.4451295025320606,0.4451295025320606,0.34264484910953663,0.29616440763998847
52,2022-04-12 09:14:14.733734,Distance-Cooperative-Selfless,0.450823242225774,0.450823242225774,0.36181725914469237,0.450823242225774,0.450823242225774,0.34264484910953663,0.29616440763998847
53,2022-04-12 09:14:45.475446,Balanced-Cooperative-Selfless,0.450823242225774,0.45067969742869973,0.36181725914469237,0.450823242225774,0.450823242225774,0.34264484910953663,0.29616440763998847
54,2022-04-12 09:15:16.181018,Balanced-Cooperative-Selfless,0.450823242225774,0.45067969742869973,0.36181725914469237,0.450823242225774,0.450823242225774,0.34264484910953663,0.29616440763998847
55,2022-04-12 09:15:46.946674,Balanced-Cooperative-Selfless,0.450823242225774,0.45067969742869973,0.36181725914469237,0.450823242225774,0.450823242225774,0.34264484910953663,0.2963290308866869
56,2022-04-12 09:16:17.713500,Balanced-Cooperative-Selfless,0.450823242225774,0.45067969742869973,0.36181725914469237,0.450823242225774,0.450823242225774,0.34264484910953663,0.2963290308866869
57,2022-04-12 09:16:48.413778,Balanced-Cooperative-Selfless,0.450823242225774,0.45067969742869973,0.36160369376985374,0.450823242225774,0.450823242225774,0.34369441830395786,0.2963290308866869
58,2022-04-12 09:17:19.176054,Balanced-Cooperative-Selfless,0.450823242225774,0.45067969742869973,0.36160369376985374,0.450823242225774,0.450823242225774,0.34369441830395786,0.2963290308866869
59,2022-04-12 09:17:49.799296,Distance-Cooperative-Selfless,0.4522787850065829,0.4522787850065829,0.36176035718553495,0.450823242225774,0.450823242225774,0.34369441830395786,0.2963290308866869
60,2022-04-12 09:18:20.548307,Distance-Cooperative-Selfless,0.4522787850065829,0.4522787850065829,0.36160369376985374,0.4522787850065829,0.4522787850065829,0.34850602851966733,0.2963290308866869
