Round,Time,Best Solution Stakeholder,Best Solution Fitness,Distance-Competitive-Selfish,Distance-Cooperative-Selfish,Balanced-Cooperative-Selfish,Time-Competitive-Selfish,Time-Cooperative-Selfish,Balanced-Competitive-Selfish
27,2022-04-24 16:06:12.045960,Balanced-Cooperative-Selfish,0.40342662128251444,0.3551564562961878,0.3974401624618665,0.40342662128251444,0.2806895525932587,0.40342662128251444,0.3107011685948998
28,2022-04-24 16:06:42.464136,Distance-Cooperative-Selfish,0.4035870445364708,0.35622016769580317,0.4035870445364708,0.39957370952901905,0.282385014144528,0.40053136462808236,0.3107011685948998
29,2022-04-24 16:07:13.084689,Balanced-Cooperative-Selfish,0.4042906763243451,0.35622016769580317,0.4035870445364708,0.4042906763243451,0.2833652353985877,0.4032112930013576,0.3112915736639269
30,2022-04-24 16:07:43.660295,Distance-Cooperative-Selfish,0.4066882124430881,0.34864206643485157,0.4066882124430881,0.4054234153919414,0.2833652353985877,0.40586706451861904,0.31987600496989327
31,2022-04-24 16:08:14.278951,Time-Cooperative-Selfish,0.4132477510942571,0.36448020746752857,0.4063146048348583,0.4066882124430881,0.290855782321116,0.4132477510942571,0.32237807213043096
32,2022-04-24 16:08:44.706002,Balanced-Cooperative-Selfish,0.4132477510942571,0.36505380602914433,0.39935466191385754,0.4132477510942571,0.29709376183514286,0.4132477510942571,0.32266469429273287
33,2022-04-24 16:09:15.514433,Time-Cooperative-Selfish,0.415092726656715,0.36505380602914433,0.4103213053912213,0.4132477510942571,0.29709376183514286,0.415092726656715,0.3106719059967793
34,2022-04-24 16:09:46.189560,Balanced-Cooperative-Selfish,0.41798532545492983,0.36505380602914433,0.40155537084391,0.41798532545492983,0.3023362174113335,0.4132477510942571,0.32544323574036904
35,2022-04-24 16:10:16.726477,Time-Cooperative-Selfish,0.4190825693900722,0.3716619588545754,0.39425825005839377,0.4151995158465004,0.2998372450077512,0.4190825693900722,0.32731411229409324
36,2022-04-24 16:10:47.116716,Balanced-Cooperative-Selfish,0.42282365100889463,0.3661504516882244,0.40155537084391,0.42282365100889463,0.30034618017298337,0.4121458246891239,0.3283990514956413
37,2022-04-24 16:11:17.656072,Time-Cooperative-Selfish,0.4205661972241488,0.35927906746145216,0.40476752906693686,0.41984090775041666,0.30161714361260333,0.4205661972241488,0.32898549098933655
38,2022-04-24 16:11:48.350413,Balanced-Cooperative-Selfish,0.42336706793472045,0.37318377863990676,0.4146216095671813,0.42336706793472045,0.30294830949209284,0.41930500262720666,0.3303735639073709
39,2022-04-24 16:12:18.883139,Time-Cooperative-Selfish,0.4205661972241488,0.37133481501203575,0.40474385737212676,0.42017534098839304,0.3039595872936411,0.4205661972241488,0.3337337672743018
40,2022-04-24 16:12:49.434974,Time-Cooperative-Selfish,0.42282365100889463,0.37428232546344276,0.41858389128905343,0.4155687135863395,0.3039595872936411,0.42282365100889463,0.3301439201418322
41,2022-04-24 16:13:20.031225,Balanced-Cooperative-Selfish,0.4250990023030949,0.3738235911725566,0.4166313440610808,0.4250990023030949,0.3039595872936411,0.4184452524641256,0.3337337672743018
42,2022-04-24 16:13:50.682729,Balanced-Cooperative-Selfish,0.4250990023030949,0.3710419793387824,0.4248972177620021,0.4250990023030949,0.3032588622572084,0.42075997278602467,0.33927890790602905
43,2022-04-24 16:14:21.260584,Balanced-Cooperative-Selfish,0.4342427381570687,0.37905277044603075,0.42088969426611655,0.4342427381570687,0.3088885344977366,0.4175399833562903,0.3312092770855117
44,2022-04-24 16:14:51.782620,Balanced-Cooperative-Selfish,0.4342427381570687,0.3860866867586909,0.43082381533669895,0.4342427381570687,0.3222399736244743,0.4342427381570687,0.3445173298230757
45,2022-04-24 16:15:22.424770,Distance-Cooperative-Selfish,0.4348180805052362,0.39636305915273407,0.4348180805052362,0.4342427381570687,0.3222399736244743,0.4342427381570687,0.3445173298230757
46,2022-04-24 16:15:53.059636,Distance-Cooperative-Selfish,0.43791158997499435,0.40465335865592245,0.43791158997499435,0.4348180805052362,0.3222399736244743,0.42040280586003215,0.3445173298230757
47,2022-04-24 16:16:23.765305,Balanced-Cooperative-Selfish,0.43791158997499435,0.4010977008284129,0.4281305348699428,0.43791158997499435,0.32033577226664284,0.43522793397875104,0.3445173298230757
48,2022-04-24 16:16:54.521680,Balanced-Cooperative-Selfish,0.44164370323431706,0.40921937169215905,0.4366632859283107,0.44164370323431706,0.32412267632067226,0.43522793397875104,0.3445173298230757
49,2022-04-24 16:17:24.964521,Balanced-Cooperative-Selfish,0.44164370323431706,0.40921937169215905,0.43791158997499435,0.44164370323431706,0.32412267632067226,0.4366734139666886,0.33430377573738623
50,2022-04-24 16:17:55.620593,Balanced-Cooperative-Selfish,0.4420977586471079,0.40889931901818594,0.43378969115727806,0.4420977586471079,0.32412267632067226,0.4366734139666886,0.33443541269117866
51,2022-04-24 16:18:26.186114,Balanced-Cooperative-Selfish,0.45091495623191996,0.4120315982246885,0.4388400453244173,0.45091495623191996,0.32412267632067226,0.4361584346194743,0.3455743778680077
52,2022-04-24 16:18:57.043626,Balanced-Cooperative-Selfish,0.4657402875576646,0.4120315982246885,0.44689059949135257,0.4657402875576646,0.3218015111252415,0.4361976815926319,0.3455743778680077
53,2022-04-24 16:19:27.973025,Time-Cooperative-Selfish,0.4657402875576646,0.4120315982246885,0.4581201434224169,0.4635553272627554,0.3087129739910181,0.4657402875576646,0.33537660800470726
54,2022-04-24 16:19:58.443345,Balanced-Cooperative-Selfish,0.4657402875576646,0.4012354275535648,0.4581201434224169,0.4657402875576646,0.3126704270895874,0.4604798283067339,0.3455743778680077
55,2022-04-24 16:20:29.394993,Balanced-Cooperative-Selfish,0.47045934444723864,0.3944709390568604,0.4581201434224169,0.47045934444723864,0.3218015111252415,0.4637202408494146,0.33453682656866185
56,2022-04-24 16:21:00.135394,Time-Cooperative-Selfish,0.47723157299976465,0.4120315982246885,0.45511074411457275,0.4565298277943978,0.3218015111252415,0.47723157299976465,0.3455743778680077
57,2022-04-24 16:21:30.908103,Balanced-Cooperative-Selfish,0.47723157299976465,0.413374482703797,0.45850696014802106,0.47723157299976465,0.32284819377033547,0.47723157299976465,0.3455743778680077
58,2022-04-24 16:22:01.701687,Balanced-Cooperative-Selfish,0.47723157299976465,0.41778576856320476,0.4591775133324823,0.47723157299976465,0.32284819377033547,0.47723157299976465,0.3455743778680077
59,2022-04-24 16:22:32.244142,Balanced-Cooperative-Selfish,0.47723157299976465,0.41778576856320476,0.462091350615484,0.47723157299976465,0.325450309677613,0.4545898965518294,0.32609657260428315
60,2022-04-24 16:23:02.897855,Time-Cooperative-Selfish,0.48002967217264114,0.41778576856320476,0.45825289611328934,0.47723157299976465,0.325450309677613,0.48002967217264114,0.3455743778680077
