Round,Time,Best Solution Stakeholder,Best Solution Fitness,Distance-Competitive-Selfless,Time-Competitive-Selfish,Time-Competitive-Selfless,Balanced-Competitive-Selfless,Distance-Competitive-Selfish,Balanced-Competitive-Selfish
21,2022-04-24 15:32:23.542157,Distance-Competitive-Selfless,0.31920844691507877,0.31920844691507877,0.2620805896150883,0.3006465716486275,0.3013913380879565,0.31696947504459283,0.2937347193668103
22,2022-04-24 15:32:53.962161,Distance-Competitive-Selfless,0.32431523977491633,0.32431523977491633,0.2620805896150883,0.3006465716486275,0.30574033239053805,0.31348716669045723,0.2938607045172517
23,2022-04-24 15:33:24.464308,Distance-Competitive-Selfish,0.3320780509463156,0.32431523977491633,0.2620805896150883,0.3006465716486275,0.3090306929447349,0.3320780509463156,0.2938607045172517
24,2022-04-24 15:33:54.848332,Distance-Competitive-Selfish,0.3391350353049853,0.32431523977491633,0.2653193823132545,0.3006465716486275,0.31030180184459294,0.3391350353049853,0.2938607045172517
25,2022-04-24 15:34:25.183885,Distance-Competitive-Selfish,0.34116763377557235,0.32590163078476786,0.2629532154138498,0.3055089591804638,0.3161483686893769,0.34116763377557235,0.299787676576368
26,2022-04-24 15:34:55.679400,Distance-Competitive-Selfish,0.3471949493355833,0.3298346729557611,0.2629532154138498,0.30687126715940893,0.3206133124646458,0.3471949493355833,0.3051943671686856
27,2022-04-24 15:35:26.047189,Distance-Competitive-Selfish,0.34116763377557235,0.33232911795943815,0.26483289721221187,0.30687126715940893,0.32898902820076675,0.34116763377557235,0.3068377798291473
28,2022-04-24 15:35:56.479069,Distance-Competitive-Selfish,0.3395941193249241,0.3324205425468067,0.26857969906283086,0.3083078468874185,0.3290815204244509,0.3395941193249241,0.3074994401452852
29,2022-04-24 15:36:26.856656,Distance-Competitive-Selfish,0.33637861374099737,0.3324205425468067,0.2672172270039589,0.3119017020469672,0.3290815204244509,0.33637861374099737,0.314669354050601
30,2022-04-24 15:36:57.256005,Distance-Competitive-Selfish,0.3482421186548318,0.3324205425468067,0.26805292545821147,0.32873828723822907,0.3290815204244509,0.3482421186548318,0.3190388780222297
31,2022-04-24 15:37:27.805757,Distance-Competitive-Selfish,0.3482421186548318,0.3324205425468067,0.2704586679603598,0.32873828723822907,0.33153271355861247,0.3482421186548318,0.32475359892653877
32,2022-04-24 15:37:58.234815,Distance-Competitive-Selfish,0.34958989822967584,0.3358431362284995,0.2739089933036226,0.32873828723822907,0.33153271355861247,0.34958989822967584,0.32821753820054356
33,2022-04-24 15:38:28.642738,Distance-Competitive-Selfish,0.34958989822967584,0.3358431362284995,0.2754293477466425,0.33074647857462464,0.3337334205356031,0.34958989822967584,0.3340716436666724
34,2022-04-24 15:38:59.089044,Distance-Competitive-Selfish,0.35080268888222305,0.3358431362284995,0.2879093757260996,0.33143349594427113,0.3337334205356031,0.35080268888222305,0.339208630080328
35,2022-04-24 15:39:29.501384,Distance-Competitive-Selfless,0.3434857445190213,0.3434857445190213,0.2901012079163493,0.33143349594427113,0.33389617663374,0.34159514009758796,0.339208630080328
36,2022-04-24 15:39:59.845295,Distance-Competitive-Selfish,0.35080268888222305,0.34847110853325935,0.2898600890965089,0.33143349594427113,0.33534482273103305,0.35080268888222305,0.34345559630098976
37,2022-04-24 15:40:30.413643,Distance-Competitive-Selfless,0.3575428257848552,0.3575428257848552,0.2980049097117423,0.33143349594427113,0.3365766539429775,0.350856834291185,0.3483343484930109
38,2022-04-24 15:41:00.800055,Distance-Competitive-Selfless,0.3672615785159011,0.3672615785159011,0.2961097919107913,0.33143349594427113,0.33788137682433206,0.350856834291185,0.3531811028663954
39,2022-04-24 15:41:31.151448,Distance-Competitive-Selfless,0.3757544547852601,0.3757544547852601,0.3103280704316589,0.33493821040663935,0.33788137682433206,0.3499909352767663,0.3565401159869082
40,2022-04-24 15:42:01.580474,Distance-Competitive-Selfless,0.3757544547852601,0.3757544547852601,0.3103280704316589,0.33493821040663935,0.33788137682433206,0.3571319354276924,0.3588835296366146
41,2022-04-24 15:42:31.978510,Distance-Competitive-Selfless,0.3756159760621266,0.3756159760621266,0.31317080881409903,0.33493821040663935,0.3391546720763126,0.3571319354276924,0.36178929700838636
42,2022-04-24 15:43:02.361911,Distance-Competitive-Selfless,0.3756159760621266,0.3756159760621266,0.31317080881409903,0.33544753200780736,0.3391546720763126,0.34691235636684414,0.36779247028003603
43,2022-04-24 15:43:32.752352,Distance-Competitive-Selfless,0.3756159760621266,0.3756159760621266,0.31317080881409903,0.33592419804475476,0.33920327944518053,0.3568141340211944,0.36779247028003603
44,2022-04-24 15:44:03.119558,Distance-Competitive-Selfless,0.3756159760621266,0.3756159760621266,0.31317080881409903,0.3363152201585022,0.33920327944518053,0.3568141340211944,0.36779247028003603
45,2022-04-24 15:44:33.518378,Distance-Competitive-Selfless,0.3783308192649864,0.3783308192649864,0.31317080881409903,0.34050366674023497,0.3396095355989472,0.34476409052246565,0.3739674702912217
46,2022-04-24 15:45:03.958399,Distance-Competitive-Selfless,0.3783308192649864,0.3783308192649864,0.31306087311225267,0.34050366674023497,0.3396095355989472,0.3577139907529443,0.36100315581824005
47,2022-04-24 15:45:34.304196,Distance-Competitive-Selfless,0.3783308192649864,0.3783308192649864,0.31692400561926426,0.34050366674023497,0.3456894515189991,0.35884913014253095,0.3756945311317558
48,2022-04-24 15:46:04.697094,Distance-Competitive-Selfless,0.3793006118395999,0.3793006118395999,0.31509417303441944,0.3399406184695685,0.3456894515189991,0.3605722731557613,0.3756945311317558
49,2022-04-24 15:46:35.109413,Distance-Competitive-Selfless,0.3833353902590472,0.3833353902590472,0.31509417303441944,0.3399406184695685,0.3456894515189991,0.3605722731557613,0.3756945311317558
50,2022-04-24 15:47:05.531515,Distance-Competitive-Selfless,0.3833353902590472,0.3833353902590472,0.31509417303441944,0.3399406184695685,0.3461114025661502,0.3613350792961128,0.3756945311317558
51,2022-04-24 15:47:35.914627,Distance-Competitive-Selfless,0.3833353902590472,0.3833353902590472,0.31582465404148113,0.3399406184695685,0.34644281559978385,0.3613350792961128,0.3600379640099409
52,2022-04-24 15:48:06.388808,Distance-Competitive-Selfless,0.3833353902590472,0.3833353902590472,0.31571364035858557,0.3399406184695685,0.34822908279115267,0.3613350792961128,0.3756945311317558
53,2022-04-24 15:48:36.830226,Distance-Competitive-Selfless,0.38441489761901443,0.38441489761901443,0.31698019696697105,0.34133734343928235,0.34822908279115267,0.3613350792961128,0.3600937451397678
54,2022-04-24 15:49:07.271292,Distance-Competitive-Selfless,0.38441489761901443,0.38441489761901443,0.3190075619608602,0.34096786656382294,0.3488677610411086,0.3615609639447536,0.3782303764731275
55,2022-04-24 15:49:37.697589,Distance-Competitive-Selfless,0.38441489761901443,0.38441489761901443,0.31953531638084864,0.34096786656382294,0.3488677610411086,0.3618028999403055,0.3782303764731275
56,2022-04-24 15:50:08.075730,Distance-Competitive-Selfless,0.38441489761901443,0.38441489761901443,0.2984405004027714,0.34096786656382294,0.3488677610411086,0.3615609639447536,0.3782303764731275
57,2022-04-24 15:50:38.485791,Distance-Competitive-Selfless,0.38441489761901443,0.38441489761901443,0.31953531638084864,0.3426605558345781,0.3488677610411086,0.3615609639447536,0.3782303764731275
58,2022-04-24 15:51:08.854968,Distance-Competitive-Selfless,0.38441489761901443,0.38441489761901443,0.31953531638084864,0.34096786656382294,0.3504046950948241,0.3615609639447536,0.3706360942757853
59,2022-04-24 15:51:39.237038,Distance-Competitive-Selfless,0.38441489761901443,0.38441489761901443,0.31953531638084864,0.34096786656382294,0.3504046950948241,0.3615609639447536,0.3782303764731275
60,2022-04-24 15:52:09.620147,Distance-Competitive-Selfless,0.38441489761901443,0.38441489761901443,0.31953531638084864,0.34096786656382294,0.3504046950948241,0.3628383166084855,0.3792756485513549
