Round,Time,Best Solution Stakeholder,Best Solution Fitness,Distance-Cooperative-Selfless,Distance-Competitive-Selfless,Balanced-Competitive-Selfless,Balanced-Cooperative-Selfless,Time-Competitive-Selfless,Time-Cooperative-Selfless
48,2022-04-24 17:19:25.188844,Time-Cooperative-Selfless,0.4150544960638023,0.4144742730809703,0.35755152678836216,0.3805636661974186,0.4148408244494031,0.31386162356730984,0.4150544960638023
49,2022-04-24 17:19:55.903231,Balanced-Cooperative-Selfless,0.4150544960638023,0.4144742730809703,0.35755152678836216,0.3805636661974186,0.4150544960638023,0.31386162356730984,0.4150544960638023
50,2022-04-24 17:20:26.664347,Distance-Cooperative-Selfless,0.41519190486150487,0.41519190486150487,0.35755152678836216,0.3826945120860261,0.4150544960638023,0.31386162356730984,0.4150544960638023
51,2022-04-24 17:20:57.310836,Balanced-Cooperative-Selfless,0.41555972720559864,0.41519190486150487,0.35755152678836216,0.3826945120860261,0.41555972720559864,0.31386162356730984,0.4150544960638023
52,2022-04-24 17:21:28.078995,Balanced-Cooperative-Selfless,0.41555972720559864,0.41519190486150487,0.3577647043497303,0.3826945120860261,0.41555972720559864,0.31386162356730984,0.4150544960638023
53,2022-04-24 17:21:58.916915,Balanced-Cooperative-Selfless,0.4179091953381991,0.41519190486150487,0.3626493779173053,0.3826945120860261,0.4179091953381991,0.31386162356730984,0.4150544960638023
54,2022-04-24 17:22:29.605770,Distance-Cooperative-Selfless,0.4179091953381991,0.4179091953381991,0.361006104697389,0.3860444848858428,0.4179091953381991,0.31386162356730984,0.4179091953381991
55,2022-04-24 17:23:00.418573,Distance-Cooperative-Selfless,0.4179091953381991,0.4179091953381991,0.3602004928944747,0.3860444848858428,0.4179091953381991,0.31386162356730984,0.41549008565207596
56,2022-04-24 17:23:31.328545,Balanced-Cooperative-Selfless,0.41995384582366024,0.4179091953381991,0.36729743168227,0.3860444848858428,0.41995384582366024,0.3140319895535572,0.41549008565207596
57,2022-04-24 17:24:02.234027,Time-Cooperative-Selfless,0.42039978512663656,0.41995384582366024,0.3945425538781789,0.3860444848858428,0.4201419620640691,0.3140319895535572,0.42039978512663656
58,2022-04-24 17:24:33.064816,Balanced-Cooperative-Selfless,0.42039978512663656,0.41995384582366024,0.3929946652050709,0.3860444848858428,0.42039978512663656,0.3146542025946129,0.42039978512663656
59,2022-04-24 17:25:03.934217,Time-Cooperative-Selfless,0.4223832417092286,0.41995384582366024,0.3929946652050709,0.3860444848858428,0.42039978512663656,0.3146542025946129,0.4223832417092286
60,2022-04-24 17:25:34.768349,Time-Cooperative-Selfless,0.42293859774317016,0.4223832417092286,0.3936470241673996,0.38616274720589266,0.4223832417092286,0.3174752611818942,0.42293859774317016
