Round,Time,Best Solution Stakeholder,Best Solution Fitness,Balanced-Competitive-Selfish,Time-Cooperative-Selfish,Distance-Cooperative-Selfish,Balanced-Cooperative-Selfish,Time-Competitive-Selfish,Distance-Competitive-Selfish
16,2022-04-24 16:31:26.317733,Balanced-Cooperative-Selfish,0.3018552662639223,0.28122488152309266,0.2997958916306092,0.30001248191727625,0.3018552662639223,0.2312217097236902,0.28422592874990477
17,2022-04-24 16:31:56.893859,Time-Cooperative-Selfish,0.3045776982209796,0.28517831610924044,0.3045776982209796,0.30206173028192806,0.3032960343018637,0.23654495734618702,0.28422592874990477
18,2022-04-24 16:32:27.299944,Distance-Cooperative-Selfish,0.31334334654060103,0.2860204985855273,0.3045776982209796,0.31334334654060103,0.3045827458555576,0.23892503879090946,0.2934133579526329
19,2022-04-24 16:32:57.835435,Distance-Cooperative-Selfish,0.3227736279004742,0.28640484033708713,0.31334334654060103,0.3227736279004742,0.31334334654060103,0.24807442198507043,0.2934133579526329
20,2022-04-24 16:33:28.309607,Distance-Cooperative-Selfish,0.32960254571327113,0.2971693193313086,0.3214829788067963,0.32960254571327113,0.32354651628789494,0.2637764752226334,0.2951319721353426
21,2022-04-24 16:33:58.892044,Balanced-Cooperative-Selfish,0.33417088720429616,0.302246534016942,0.3283699482210402,0.33413581255481695,0.33417088720429616,0.2738851738250398,0.3072381937025402
22,2022-04-24 16:34:29.375380,Distance-Cooperative-Selfish,0.3412888759804497,0.302246534016942,0.3351442562325469,0.3412888759804497,0.3357343287815899,0.2738851738250398,0.3141324447135168
23,2022-04-24 16:34:59.854095,Balanced-Cooperative-Selfish,0.3625721473308786,0.302246534016942,0.3419684355865083,0.35904786515734494,0.3625721473308786,0.2738851738250398,0.3283666513286995
24,2022-04-24 16:35:30.364836,Balanced-Cooperative-Selfish,0.3702713309313737,0.302246534016942,0.36369375948465277,0.3685216771590116,0.3702713309313737,0.2738851738250398,0.3283666513286995
25,2022-04-24 16:36:00.889198,Time-Cooperative-Selfish,0.3850978397333708,0.302246534016942,0.3850978397333708,0.3736437762220349,0.37414012946101355,0.2738851738250398,0.33825539278440714
26,2022-04-24 16:36:31.431422,Time-Cooperative-Selfish,0.3863301487690543,0.302246534016942,0.3863301487690543,0.3850978397333708,0.3850978397333708,0.2806802428656197,0.34489062676811083
27,2022-04-24 16:37:01.948121,Distance-Cooperative-Selfish,0.3940596241336699,0.302246534016942,0.39018466459156237,0.3940596241336699,0.3850978397333708,0.2963203430291185,0.34489062676811083
28,2022-04-24 16:37:32.589469,Distance-Cooperative-Selfish,0.40003033541439315,0.302246534016942,0.3940596241336699,0.40003033541439315,0.3940596241336699,0.3087584926642504,0.34489062676811083
29,2022-04-24 16:38:03.047522,Distance-Cooperative-Selfish,0.40105242687202575,0.302246534016942,0.40003033541439315,0.40105242687202575,0.40003033541439315,0.3123437465299022,0.3430298534069064
30,2022-04-24 16:38:33.509051,Balanced-Cooperative-Selfish,0.4072907087754934,0.302246534016942,0.40003033541439315,0.4051752337520946,0.4072907087754934,0.31976138566906814,0.3430298534069064
31,2022-04-24 16:39:04.129452,Balanced-Cooperative-Selfish,0.41786608680790177,0.302246534016942,0.4072907087754934,0.40621511161643264,0.41786608680790177,0.32267877153548186,0.3430298534069064
32,2022-04-24 16:39:34.746632,Time-Cooperative-Selfish,0.41786608680790177,0.2964438493144155,0.41786608680790177,0.41738714250691034,0.41786608680790177,0.32312608597422954,0.3431273677751699
33,2022-04-24 16:40:05.182049,Time-Cooperative-Selfish,0.41784698204739745,0.302246534016942,0.41784698204739745,0.41549363949474893,0.40746168458724535,0.3259552341954557,0.3434271227338253
34,2022-04-24 16:40:35.712769,Time-Cooperative-Selfish,0.41784698204739745,0.30353074524348583,0.41784698204739745,0.41549363949474893,0.4105820116949698,0.32626099983951007,0.3431273677751699
35,2022-04-24 16:41:06.073928,Balanced-Cooperative-Selfish,0.41956342577603045,0.30353074524348583,0.41784698204739745,0.4166081368648094,0.41956342577603045,0.32651911672570777,0.34588303736548864
36,2022-04-24 16:41:36.619630,Distance-Cooperative-Selfish,0.4140174962485908,0.30753638501136993,0.40633262894754135,0.4140174962485908,0.41228429249942533,0.32817575498240453,0.34588303736548864
37,2022-04-24 16:42:07.122236,Distance-Cooperative-Selfish,0.4140174962485908,0.30753638501136993,0.4071528040573439,0.4140174962485908,0.41202447061803543,0.3293379041165024,0.34588303736548864
38,2022-04-24 16:42:37.547765,Balanced-Cooperative-Selfish,0.420925349948358,0.30753638501136993,0.41425201753414004,0.4156926107723212,0.420925349948358,0.3337026720341196,0.34588303736548864
39,2022-04-24 16:43:08.248179,Distance-Cooperative-Selfish,0.42284535001344536,0.295069635449316,0.4176797307336381,0.42284535001344536,0.420925349948358,0.3348298340160171,0.33634148478831166
40,2022-04-24 16:43:38.853481,Distance-Cooperative-Selfish,0.43166928301340046,0.30753638501136993,0.41766064300927563,0.43166928301340046,0.4311924184199562,0.34551501485187774,0.34588303736548864
41,2022-04-24 16:44:09.634111,Distance-Cooperative-Selfish,0.4346551002206058,0.30783349766344864,0.4311924184199562,0.4346551002206058,0.4346551002206058,0.34551501485187774,0.34588303736548864
42,2022-04-24 16:44:40.301886,Distance-Cooperative-Selfish,0.4361982231213045,0.30884120843082086,0.43261810016031726,0.4361982231213045,0.4346551002206058,0.3508220998119048,0.3504991339757458
43,2022-04-24 16:45:11.029225,Balanced-Cooperative-Selfish,0.4361982231213045,0.30783349766344864,0.43261810016031726,0.43399193695227817,0.4361982231213045,0.35347348257765865,0.3504991339757458
44,2022-04-24 16:45:41.626404,Balanced-Cooperative-Selfish,0.4405635534216546,0.31073510201598037,0.4304782447064944,0.42945448793373775,0.4405635534216546,0.35347348257765865,0.3522930734211014
45,2022-04-24 16:46:12.097029,Distance-Cooperative-Selfish,0.44466828381255263,0.31073510201598037,0.4405635534216546,0.44466828381255263,0.4405635534216546,0.3510021915828852,0.3582315651409808
46,2022-04-24 16:46:42.771996,Time-Cooperative-Selfish,0.44466828381255263,0.31073510201598037,0.44466828381255263,0.44466828381255263,0.44466828381255263,0.355674830794521,0.3582315651409808
47,2022-04-24 16:47:13.523444,Distance-Cooperative-Selfish,0.44466828381255263,0.31073510201598037,0.4366816171547972,0.44466828381255263,0.44466828381255263,0.35483965199988393,0.3646780509015382
48,2022-04-24 16:47:44.277060,Balanced-Cooperative-Selfish,0.44466828381255263,0.3135457982934211,0.4366816171547972,0.4332744044506544,0.44466828381255263,0.36516582019225957,0.3684940582718783
49,2022-04-24 16:48:14.944973,Time-Cooperative-Selfish,0.4461078548526015,0.3135457982934211,0.4461078548526015,0.43988515079976226,0.44466828381255263,0.3712342028390283,0.3711451117414288
50,2022-04-24 16:48:45.648477,Time-Cooperative-Selfish,0.4461078548526015,0.30586037551663514,0.4461078548526015,0.44273860195942083,0.4343451436180898,0.37203189124004427,0.37170297506148137
51,2022-04-24 16:49:16.164671,Balanced-Cooperative-Selfish,0.4532686091870585,0.3135457982934211,0.43828647790424974,0.4332744044506544,0.4532686091870585,0.37460287547887783,0.39912814588428336
52,2022-04-24 16:49:46.796390,Time-Cooperative-Selfish,0.4532686091870585,0.3154861595628335,0.4532686091870585,0.4532686091870585,0.4532686091870585,0.37460287547887783,0.39912814588428336
53,2022-04-24 16:50:17.456079,Time-Cooperative-Selfish,0.4532686091870585,0.3154861595628335,0.4532686091870585,0.4480807197987065,0.4437331465894098,0.375618586750152,0.39912814588428336
54,2022-04-24 16:50:48.239119,Distance-Cooperative-Selfish,0.4536810745292627,0.3154861595628335,0.4392262525131369,0.4536810745292627,0.44115580969954904,0.3806872367085719,0.3873082813244557
55,2022-04-24 16:51:18.880398,Balanced-Cooperative-Selfish,0.4536810745292627,0.3154861595628335,0.4532686091870585,0.4466743240585836,0.4536810745292627,0.3806872367085719,0.39358307442700396
56,2022-04-24 16:51:49.675779,Distance-Cooperative-Selfish,0.4536810745292627,0.3154861595628335,0.4532686091870585,0.4536810745292627,0.446926387888031,0.3815821054967489,0.39675089949757525
57,2022-04-24 16:52:20.383527,Distance-Cooperative-Selfish,0.4554140131315676,0.3154861595628335,0.4320937182846829,0.4554140131315676,0.4536810745292627,0.3815821054967489,0.39675089949757525
58,2022-04-24 16:52:51.020735,Time-Cooperative-Selfish,0.4554140131315676,0.3154861595628335,0.4554140131315676,0.4554140131315676,0.4554140131315676,0.3815821054967489,0.39675089949757525
59,2022-04-24 16:53:21.635261,Balanced-Cooperative-Selfish,0.4554140131315676,0.3154861595628335,0.4503391545663244,0.4503391545663244,0.4554140131315676,0.3815821054967489,0.39675089949757525
60,2022-04-24 16:53:52.298463,Distance-Cooperative-Selfish,0.45570825913061674,0.315828664164138,0.4537229189920368,0.45570825913061674,0.4436708933209462,0.3815821054967489,0.39675089949757525
