Round,Time,Best Solution Stakeholder,Best Solution Fitness,Distance-Cooperative-Selfless,Time-Cooperative-Selfless,Time-Cooperative-Selfish,Distance-Cooperative-Selfish,Balanced-Cooperative-Selfless,Balanced-Cooperative-Selfish
26,2022-04-12 10:03:01.312968,Balanced-Cooperative-Selfish,0.40111049094668133,0.39816577536877484,0.39816577536877484,0.3887310368811166,0.4000758314182332,0.3996967714433004,0.40111049094668133
27,2022-04-12 10:03:31.896869,Balanced-Cooperative-Selfless,0.4197401592175291,0.41154278687239354,0.4071659605148894,0.40111049094668133,0.4066018365587329,0.4197401592175291,0.40618530802587416
28,2022-04-12 10:04:02.475113,Distance-Cooperative-Selfless,0.42918354869779907,0.42918354869779907,0.4197401592175291,0.4197401592175291,0.41982784612575447,0.42291636058679727,0.42509105280574394
29,2022-04-12 10:04:33.037777,Time-Cooperative-Selfless,0.4316801719923069,0.4307594862797742,0.4316801719923069,0.42918354869779907,0.42211201514499336,0.42918354869779907,0.42918354869779907
30,2022-04-12 10:05:03.688073,Distance-Cooperative-Selfish,0.4379115127625739,0.4307594862797742,0.4316801719923069,0.43174182546508855,0.4379115127625739,0.4316801719923069,0.4316801719923069
31,2022-04-12 10:05:34.249732,Balanced-Cooperative-Selfish,0.43830646732950806,0.4379115127625739,0.4379115127625739,0.4379115127625739,0.4209596255915621,0.4379115127625739,0.43830646732950806
32,2022-04-12 10:06:04.874705,Distance-Cooperative-Selfless,0.43830646732950806,0.43830646732950806,0.4379115127625739,0.4271637435660657,0.4342761638609653,0.43830646732950806,0.43830646732950806
33,2022-04-12 10:06:35.432239,Balanced-Cooperative-Selfless,0.44086646683756875,0.43830646732950806,0.4393330162655238,0.43212666938336036,0.43948609087937685,0.44086646683756875,0.44086646683756875
34,2022-04-12 10:07:05.977909,Distance-Cooperative-Selfish,0.44259159534819886,0.44086646683756875,0.4393330162655238,0.4393330162655238,0.44259159534819886,0.44086646683756875,0.4413870380378299
35,2022-04-12 10:07:36.499093,Distance-Cooperative-Selfish,0.44559129709653617,0.4435878874150818,0.4393330162655238,0.43287830621320567,0.44559129709653617,0.4435878874150818,0.4332949801502094
36,2022-04-12 10:08:07.068471,Distance-Cooperative-Selfless,0.44950541087727075,0.44950541087727075,0.44559129709653617,0.4407813129175909,0.44559129709653617,0.446601155242257,0.44559129709653617
37,2022-04-12 10:08:37.614877,Distance-Cooperative-Selfish,0.4510893399628357,0.44950541087727075,0.44950541087727075,0.44950541087727075,0.4510893399628357,0.44950541087727075,0.44337520786693735
38,2022-04-12 10:09:08.221201,Balanced-Cooperative-Selfless,0.4557258005451243,0.4510893399628357,0.4520017102537356,0.448198198003334,0.4510893399628357,0.4557258005451243,0.4510893399628357
39,2022-04-12 10:09:38.798775,Distance-Cooperative-Selfless,0.4572935274901338,0.4572935274901338,0.4557258005451243,0.4557258005451243,0.43722179040085146,0.45601953679540547,0.4557258005451243
40,2022-04-12 10:10:09.431701,Time-Cooperative-Selfish,0.45836873689499524,0.4572935274901338,0.45601953679540547,0.45836873689499524,0.4583273328004003,0.4572935274901338,0.4583080458642872
41,2022-04-12 10:10:39.923248,Time-Cooperative-Selfless,0.46300651341092747,0.4583273328004003,0.46300651341092747,0.4295220962662592,0.4435566365641962,0.45836873689499524,0.45836873689499524
42,2022-04-12 10:11:10.495997,Distance-Cooperative-Selfless,0.46300651341092747,0.46300651341092747,0.46300651341092747,0.46300651341092747,0.46300651341092747,0.46300651341092747,0.46300651341092747
43,2022-04-12 10:11:40.936997,Distance-Cooperative-Selfless,0.46300651341092747,0.46300651341092747,0.46300651341092747,0.4596461623427719,0.46300651341092747,0.46300651341092747,0.4454598276660742
44,2022-04-12 10:12:11.539259,Distance-Cooperative-Selfless,0.46300651341092747,0.46300651341092747,0.46300651341092747,0.46300651341092747,0.4547193599374273,0.46300651341092747,0.46300651341092747
45,2022-04-12 10:12:42.098261,Balanced-Cooperative-Selfish,0.46400605167033004,0.4630827148517568,0.46300651341092747,0.46300651341092747,0.446968465807511,0.46300651341092747,0.46400605167033004
46,2022-04-12 10:13:12.635313,Balanced-Cooperative-Selfish,0.469399461285702,0.46400605167033004,0.46400605167033004,0.46400605167033004,0.45648462465535444,0.4642299354499315,0.469399461285702
47,2022-04-12 10:13:43.220610,Time-Cooperative-Selfish,0.4706569471663215,0.469399461285702,0.469399461285702,0.4706569471663215,0.469399461285702,0.469399461285702,0.45355320931446685
48,2022-04-12 10:14:13.870590,Balanced-Cooperative-Selfless,0.47331235795778887,0.4706569471663215,0.4706569471663215,0.4698295590800906,0.44505764315285196,0.47331235795778887,0.4546115764581862
49,2022-04-12 10:14:44.429141,Distance-Cooperative-Selfless,0.4768054430148661,0.4768054430148661,0.47331235795778887,0.47331235795778887,0.4674674413388695,0.4768054430148661,0.4768054430148661
50,2022-04-12 10:15:15.140515,Time-Cooperative-Selfless,0.4768054430148661,0.47331235795778887,0.4768054430148661,0.4702804285498304,0.4623692718764506,0.4768054430148661,0.4649057887468939
51,2022-04-12 10:15:45.784231,Time-Cooperative-Selfish,0.48174141726235564,0.47718103201091355,0.4802454502892083,0.48174141726235564,0.4672562309076135,0.4802454502892083,0.4768054430148661
52,2022-04-12 10:16:16.341416,Time-Cooperative-Selfless,0.48606714328730477,0.47718103201091355,0.48606714328730477,0.4704654057400115,0.47718103201091355,0.48174141726235564,0.48606714328730477
53,2022-04-12 10:16:46.958618,Distance-Cooperative-Selfless,0.48606714328730477,0.48606714328730477,0.48606714328730477,0.48606714328730477,0.48606714328730477,0.48606714328730477,0.48606714328730477
54,2022-04-12 10:17:17.640867,Time-Cooperative-Selfless,0.496411584863065,0.48663678378715675,0.496411584863065,0.48391234743112427,0.48606714328730477,0.48606714328730477,0.4745270523029013
55,2022-04-12 10:17:48.222875,Distance-Cooperative-Selfless,0.496411584863065,0.496411584863065,0.496411584863065,0.4912853195564638,0.496411584863065,0.496411584863065,0.488183087435562
56,2022-04-12 10:18:18.761022,Distance-Cooperative-Selfless,0.49700574426948013,0.49700574426948013,0.496411584863065,0.48381348624585346,0.48381348624585346,0.496411584863065,0.4812880308979428
57,2022-04-12 10:18:49.267697,Distance-Cooperative-Selfless,0.49700574426948013,0.49700574426948013,0.496411584863065,0.4799068413732217,0.496411584863065,0.49700574426948013,0.49700574426948013
58,2022-04-12 10:19:19.872093,Balanced-Cooperative-Selfish,0.4980362847597098,0.49700574426948013,0.496411584863065,0.48381348624585346,0.48361198940291117,0.49700574426948013,0.4980362847597098
59,2022-04-12 10:19:50.418580,Balanced-Cooperative-Selfish,0.4981373397314206,0.4980362847597098,0.496411584863065,0.48141096568669045,0.48296651507226696,0.4980362847597098,0.4981373397314206
60,2022-04-12 10:20:21.059005,Distance-Cooperative-Selfish,0.49854887876520515,0.4980362847597098,0.4981373397314206,0.48701042564052494,0.49854887876520515,0.4981373397314206,0.48841454891602026
