Round,Time,Best Solution Stakeholder,Best Solution Fitness,Distance-Cooperative-Selfish,Distance-Cooperative-Selfless,Balanced-Cooperative-Selfless,Time-Cooperative-Selfless,Balanced-Cooperative-Selfish,Time-Cooperative-Selfish
31,2022-04-24 14:04:30.442515,Time-Cooperative-Selfless,0.4243193422599887,0.41907384495302863,0.41907384495302863,0.4230469463512191,0.4243193422599887,0.4089721119853318,0.42208730969397495
32,2022-04-24 14:05:01.013567,Balanced-Cooperative-Selfless,0.4243193422599887,0.4197689417428275,0.4214466674331887,0.4243193422599887,0.4243193422599887,0.4243193422599887,0.38811384658075043
33,2022-04-24 14:05:31.598264,Balanced-Cooperative-Selfless,0.4243193422599887,0.4214466674331887,0.42168644120665266,0.4243193422599887,0.4243193422599887,0.4243193422599887,0.4153878357112106
34,2022-04-24 14:06:02.057921,Balanced-Cooperative-Selfless,0.4265944651828725,0.4214466674331887,0.42168644120665266,0.4265944651828725,0.4243193422599887,0.42443612249013046,0.4243193422599887
35,2022-04-24 14:06:32.598620,Balanced-Cooperative-Selfless,0.4265944651828725,0.4214466674331887,0.4214466674331887,0.4265944651828725,0.4265944651828725,0.4265944651828725,0.4063941544842678
36,2022-04-24 14:07:03.286692,Balanced-Cooperative-Selfless,0.4265944651828725,0.42287483701315853,0.4214466674331887,0.4265944651828725,0.4265944651828725,0.4265944651828725,0.4265944651828725
37,2022-04-24 14:07:33.766441,Balanced-Cooperative-Selfless,0.4265944651828725,0.42300083703596114,0.42300083703596114,0.4265944651828725,0.4265944651828725,0.422480698668599,0.4172952759499171
38,2022-04-24 14:08:04.493655,Balanced-Cooperative-Selfless,0.4265944651828725,0.42450110745086167,0.42300083703596114,0.4265944651828725,0.4265944651828725,0.4172952759499171,0.4265944651828725
39,2022-04-24 14:08:35.207730,Distance-Cooperative-Selfless,0.4311514266566257,0.42450110745086167,0.4311514266566257,0.4265944651828725,0.4265944651828725,0.41525787046516943,0.4265944651828725
40,2022-04-24 14:09:05.993073,Balanced-Cooperative-Selfless,0.43541643681657405,0.4259483184820547,0.4321396160762202,0.43541643681657405,0.42681530541623736,0.4330228366744217,0.4265944651828725
41,2022-04-24 14:09:36.619201,Balanced-Cooperative-Selfless,0.444058788873644,0.43278448610191417,0.4326293268885539,0.444058788873644,0.43541643681657405,0.43597201075752456,0.43541643681657405
42,2022-04-24 14:10:07.470321,Balanced-Cooperative-Selfless,0.4441361158189228,0.444058788873644,0.444058788873644,0.4441361158189228,0.444058788873644,0.444058788873644,0.4441361158189228
43,2022-04-24 14:10:38.256279,Balanced-Cooperative-Selfless,0.4444345608170774,0.444058788873644,0.4443071012547392,0.4444345608170774,0.4441361158189228,0.4441361158189228,0.4312428458787289
44,2022-04-24 14:11:08.836965,Balanced-Cooperative-Selfish,0.44458444669713204,0.4330279348607065,0.44360262519179494,0.4444345608170774,0.4444345608170774,0.44458444669713204,0.4432018138020731
45,2022-04-24 14:11:39.460356,Distance-Cooperative-Selfless,0.44918448612843487,0.4446468074382101,0.44918448612843487,0.44458444669713204,0.44458444669713204,0.44325024750872627,0.4365762914022945
46,2022-04-24 14:12:10.041248,Distance-Cooperative-Selfless,0.4561027069619678,0.4446468074382101,0.4561027069619678,0.44918448612843487,0.44918448612843487,0.44918448612843487,0.44918448612843487
47,2022-04-24 14:12:40.794446,Balanced-Cooperative-Selfless,0.4561027069619678,0.44531018158025804,0.45586521907051347,0.4561027069619678,0.4561027069619678,0.4561027069619678,0.4397914681749948
48,2022-04-24 14:13:11.279556,Balanced-Cooperative-Selfless,0.4561027069619678,0.45019181823602966,0.45586521907051347,0.4561027069619678,0.4561027069619678,0.4561027069619678,0.4560855184297794
49,2022-04-24 14:13:42.103776,Balanced-Cooperative-Selfless,0.4561027069619678,0.4434766324471509,0.45586521907051347,0.4561027069619678,0.4560855184297794,0.4561027069619678,0.4400106669119475
50,2022-04-24 14:14:12.825911,Balanced-Cooperative-Selfless,0.4561027069619678,0.43762512116806007,0.45535949280345256,0.4561027069619678,0.4560855184297794,0.44206254719463295,0.45516939571543413
51,2022-04-24 14:14:43.499982,Distance-Cooperative-Selfless,0.4574450236002467,0.45535949280345256,0.4574450236002467,0.45662332538868955,0.4560855184297794,0.44445408351486476,0.43618906879944996
52,2022-04-24 14:15:14.257099,Balanced-Cooperative-Selfish,0.4618930680274123,0.4574450236002467,0.457149804871062,0.46005942227026153,0.45662332538868955,0.4618930680274123,0.45662332538868955
53,2022-04-24 14:15:44.959633,Balanced-Cooperative-Selfless,0.46467862664643217,0.4644587686656138,0.4618930680274123,0.46467862664643217,0.45662332538868955,0.46449809359818406,0.4577343163071697
54,2022-04-24 14:16:15.588731,Balanced-Cooperative-Selfish,0.4740360963951652,0.4618004839110989,0.4654349118585523,0.4649883186628403,0.4577343163071697,0.4740360963951652,0.45681156455763217
55,2022-04-24 14:16:46.515015,Balanced-Cooperative-Selfish,0.47877761813971365,0.4740360963951652,0.4740360963951652,0.4740360963951652,0.4740360963951652,0.47877761813971365,0.4740360963951652
56,2022-04-24 14:17:17.215989,Balanced-Cooperative-Selfless,0.48205348559923855,0.4714536926347625,0.47877761813971365,0.48205348559923855,0.47877761813971365,0.47902224560294826,0.4698268380692397
57,2022-04-24 14:17:47.983264,Time-Cooperative-Selfish,0.4912893133274926,0.4714536926347625,0.48675076963423725,0.48205348559923855,0.485481003906569,0.4764833455178804,0.4912893133274926
58,2022-04-24 14:18:18.594927,Distance-Cooperative-Selfish,0.4959320955951284,0.4959320955951284,0.4912893133274926,0.4934447555965682,0.49473924852197076,0.4912893133274926,0.469901706724155
59,2022-04-24 14:18:49.314196,Distance-Cooperative-Selfless,0.49812856014746787,0.4959320955951284,0.49812856014746787,0.4969251363462052,0.4959320955951284,0.4888922152793487,0.4962816361389444
60,2022-04-24 14:19:20.034284,Balanced-Cooperative-Selfish,0.5020591963899073,0.4849184147624069,0.49812856014746787,0.49812856014746787,0.49812856014746787,0.5020591963899073,0.49769787006231947
