Round,Time,Best Solution Stakeholder,Best Solution Fitness,Distance-Cooperative-Selfless,Time-Competitive-Selfless,Time-Cooperative-Selfless,Balanced-Cooperative-Selfless,Balanced-Competitive-Selfless,Distance-Competitive-Selfless
49,2022-04-24 17:50:57.258737,Distance-Cooperative-Selfless,0.43919854686129056,0.43919854686129056,0.3142879656868088,0.43919854686129056,0.43919854686129056,0.35855761871122943,0.3759359028365777
50,2022-04-24 17:51:28.137673,Distance-Cooperative-Selfless,0.44632045843502677,0.44632045843502677,0.3142879656868088,0.43919854686129056,0.43919854686129056,0.35855761871122943,0.3759359028365777
51,2022-04-24 17:51:58.855587,Distance-Cooperative-Selfless,0.44636882085400703,0.44636882085400703,0.3142879656868088,0.44632045843502677,0.44632045843502677,0.35855761871122943,0.37857469741580724
52,2022-04-24 17:52:29.562147,Balanced-Cooperative-Selfless,0.4475711537921553,0.44720621207406247,0.3143234390742878,0.44636882085400703,0.4475711537921553,0.3589147855272403,0.37857469741580724
53,2022-04-24 17:53:00.490881,Distance-Cooperative-Selfless,0.4565479859542091,0.4565479859542091,0.3160396399349398,0.4475711537921553,0.4506572572118179,0.3589147855272403,0.37857469741580724
54,2022-04-24 17:53:31.129636,Balanced-Cooperative-Selfless,0.45694896189954426,0.45098150985041846,0.3174688502025612,0.4565479859542091,0.45694896189954426,0.3589147855272403,0.37853409507216035
55,2022-04-24 17:54:02.399602,Balanced-Cooperative-Selfless,0.46065269569296763,0.45694896189954426,0.3174688502025612,0.4599553675715646,0.46065269569296763,0.3589147855272403,0.37853409507216035
56,2022-04-24 17:54:33.241103,Balanced-Cooperative-Selfless,0.46065269569296763,0.4589447465310324,0.3174688502025612,0.455786237450115,0.46065269569296763,0.3589147855272403,0.37853409507216035
57,2022-04-24 17:55:04.087825,Distance-Cooperative-Selfless,0.46863139143529253,0.46863139143529253,0.3174688502025612,0.455786237450115,0.46065269569296763,0.3589147855272403,0.37853409507216035
58,2022-04-24 17:55:34.838087,Distance-Cooperative-Selfless,0.46863139143529253,0.46863139143529253,0.3174688502025612,0.46863139143529253,0.46863139143529253,0.3589147855272403,0.37853409507216035
59,2022-04-24 17:56:05.657302,Distance-Cooperative-Selfless,0.46879909939692016,0.46879909939692016,0.31932775770092836,0.46863139143529253,0.46879909939692016,0.3589147855272403,0.37853409507216035
60,2022-04-24 17:56:36.447795,Balanced-Cooperative-Selfless,0.470343515605883,0.46954042569805254,0.31932775770092836,0.4680245814249088,0.470343515605883,0.3589147855272403,0.37853409507216035
