Round,Time,Best Solution Stakeholder,Best Solution Fitness,Balanced-Cooperative-Selfish,Distance-Cooperative-Selfish,Time-Cooperative-Selfish,Distance-Competitive-Selfish,Time-Competitive-Selfish,Balanced-Competitive-Selfish
40,2022-04-12 08:36:48.030773,Balanced-Cooperative-Selfish,0.463463865247877,0.463463865247877,0.45401067041415827,0.448771189576252,0.3856736374194638,0.307812221482175,0.3400267497401606
41,2022-04-12 08:37:18.569544,Distance-Cooperative-Selfish,0.463463865247877,0.4441831611954348,0.463463865247877,0.463463865247877,0.3856736374194638,0.30942989527076464,0.34273689120112305
42,2022-04-12 08:37:49.053191,Balanced-Cooperative-Selfish,0.46390445888259535,0.46390445888259535,0.45184341601857203,0.45117384520502035,0.3856736374194638,0.31082076877517756,0.344519873984069
43,2022-04-12 08:38:19.477025,Balanced-Cooperative-Selfish,0.464055188079184,0.464055188079184,0.461743711487674,0.4638008361596121,0.37909286347656285,0.31940709155623964,0.344519873984069
44,2022-04-12 08:38:50.016486,Time-Cooperative-Selfish,0.464055188079184,0.4499856114902887,0.4624847888559325,0.464055188079184,0.3807134730947515,0.31940709155623964,0.344519873984069
45,2022-04-12 08:39:20.305858,Distance-Cooperative-Selfish,0.46603662253311634,0.46427492226428996,0.46603662253311634,0.45289005064374815,0.3807134730947515,0.31940709155623964,0.3474987278952409
46,2022-04-12 08:39:50.919240,Distance-Cooperative-Selfish,0.47107399991374255,0.45948589715913774,0.47107399991374255,0.4661785329266932,0.3831638171879685,0.31940709155623964,0.3484726509115347
47,2022-04-12 08:40:21.519049,Time-Cooperative-Selfish,0.47133288942861745,0.47107399991374255,0.47010889817181944,0.47133288942861745,0.38567021350637276,0.31940709155623964,0.3484726509115347
48,2022-04-12 08:40:52.165105,Balanced-Cooperative-Selfish,0.47133288942861745,0.47133288942861745,0.47010889817181944,0.47133288942861745,0.38567021350637276,0.31940709155623964,0.349814383149596
49,2022-04-12 08:41:22.659390,Time-Cooperative-Selfish,0.47133288942861745,0.45781786198437785,0.47010889817181944,0.47133288942861745,0.38567021350637276,0.30678409603552953,0.349814383149596
50,2022-04-12 08:41:53.200853,Balanced-Cooperative-Selfish,0.47388462570005924,0.47388462570005924,0.46460092726314783,0.4709040382587885,0.38567021350637276,0.3203049186082185,0.3529970098846223
51,2022-04-12 08:42:23.676417,Time-Cooperative-Selfish,0.47388462570005924,0.4592661441211197,0.4668682308472673,0.47388462570005924,0.38567021350637276,0.3203049186082185,0.3529970098846223
52,2022-04-12 08:42:54.059224,Time-Cooperative-Selfish,0.47388462570005924,0.4659773417905132,0.4640498245524621,0.47388462570005924,0.38567021350637276,0.3203049186082185,0.3544561504603458
53,2022-04-12 08:43:24.700212,Time-Cooperative-Selfish,0.4596390601445934,0.4588936710433542,0.4427155611909787,0.4596390601445934,0.38567021350637276,0.3203049186082185,0.3544561504603458
54,2022-04-12 08:43:55.286098,Distance-Cooperative-Selfish,0.47220774260429954,0.4587501261130372,0.47220774260429954,0.45781786198437785,0.38567021350637276,0.3203049186082185,0.3615630142056093
55,2022-04-12 08:44:25.903977,Distance-Cooperative-Selfish,0.47318912981864436,0.4489074354974,0.47318912981864436,0.45781786198437785,0.38567021350637276,0.3203049186082185,0.3680181607962475
56,2022-04-12 08:44:56.445817,Balanced-Cooperative-Selfish,0.47388462570005924,0.47388462570005924,0.47318912981864436,0.47388462570005924,0.38567021350637276,0.31545205002288756,0.3680181607962475
57,2022-04-12 08:45:27.141151,Balanced-Cooperative-Selfish,0.4741137694186557,0.4741137694186557,0.45756729531944895,0.47388462570005924,0.38567021350637276,0.32492761937885,0.3701017890226821
58,2022-04-12 08:45:57.757917,Balanced-Cooperative-Selfish,0.4741137694186557,0.4741137694186557,0.4650158016437796,0.47333686961061305,0.38567021350637276,0.32492761937885,0.3701017890226821
59,2022-04-12 08:46:28.270277,Balanced-Cooperative-Selfish,0.4741137694186557,0.4741137694186557,0.4658850496027579,0.4741137694186557,0.3823732047903114,0.32555018996305546,0.3734282733891014
60,2022-04-12 08:46:58.858337,Distance-Cooperative-Selfish,0.47625881821586963,0.47595244115580276,0.47625881821586963,0.4741137694186557,0.38567021350637276,0.32637543189047075,0.3734282733891014
