Round,Time,Best Solution Stakeholder,Best Solution Fitness,Distance-Competitive-Selfless,Distance-Competitive-Selfish,Balanced-Competitive-Selfless,Time-Competitive-Selfless,Balanced-Competitive-Selfish,Time-Competitive-Selfish
12,2022-04-12 09:25:02.277731,Balanced-Competitive-Selfish,0.2799489897655694,0.25496651964302686,0.24827018795528127,0.24425583950170424,0.22413862857540062,0.2799489897655694,0.22017095969035252
13,2022-04-12 09:25:32.720163,Balanced-Competitive-Selfish,0.28710679061050837,0.2542653702652524,0.2527594094470529,0.25106575446817575,0.2321518242030754,0.28710679061050837,0.22577570075890913
14,2022-04-12 09:26:03.113074,Balanced-Competitive-Selfish,0.29272324512029196,0.26532556349014685,0.2602836797026562,0.25445731982231984,0.2321518242030754,0.29272324512029196,0.23093639254776663
15,2022-04-12 09:26:33.520890,Balanced-Competitive-Selfish,0.29298917446330863,0.26989004658162,0.2705543186773822,0.26188293674333835,0.2329005494264496,0.29298917446330863,0.23770691930468088
16,2022-04-12 09:27:03.967080,Balanced-Competitive-Selfish,0.298134930171423,0.2774903550695677,0.27875271588532874,0.2642786745984823,0.2338708810882075,0.298134930171423,0.24154019597955478
17,2022-04-12 09:27:34.353829,Balanced-Competitive-Selfish,0.298134930171423,0.28323701415816427,0.27972816165868297,0.26690745949641975,0.234650084614115,0.298134930171423,0.2435461910785449
18,2022-04-12 09:28:04.803234,Balanced-Competitive-Selfish,0.30132164987304144,0.2917556620680284,0.275047575975767,0.2754706166969024,0.2384646686608318,0.30132164987304144,0.24307780616217964
19,2022-04-12 09:28:35.214501,Balanced-Competitive-Selfish,0.3056484193459511,0.2974355950237797,0.2895152867806023,0.2900574179966151,0.2409671813747178,0.3056484193459511,0.2505816289970992
20,2022-04-12 09:29:05.677093,Balanced-Competitive-Selfish,0.30639193920429647,0.30439274122134546,0.2973782240069322,0.3017630860233359,0.2400445760922809,0.30639193920429647,0.2594055189026963
21,2022-04-12 09:29:36.091459,Distance-Competitive-Selfless,0.31658216089259233,0.31658216089259233,0.3023759501533887,0.30684221528810024,0.24197266896214237,0.3071333256212604,0.2608827003015627
22,2022-04-12 09:30:06.539529,Distance-Competitive-Selfless,0.3213941280016273,0.3213941280016273,0.30463395410375843,0.31092320134999696,0.24712870790703242,0.3085229943315374,0.2644686127167754
23,2022-04-12 09:30:36.902939,Distance-Competitive-Selfless,0.31527165212450664,0.31527165212450664,0.30926143859538174,0.3135995377322932,0.2484024523498628,0.3111306324430948,0.2644686127167754
24,2022-04-12 09:31:07.316476,Distance-Competitive-Selfless,0.32962067879204227,0.32962067879204227,0.31528487221148555,0.32191396104913,0.2484923461444132,0.32844007370177974,0.2644686127167754
25,2022-04-12 09:31:37.707509,Balanced-Competitive-Selfish,0.3318411386780158,0.33050874869657326,0.3168452944751202,0.32491000982627466,0.2502605661424469,0.3318411386780158,0.2644686127167754
26,2022-04-12 09:32:08.085775,Balanced-Competitive-Selfish,0.33540688114236095,0.3258651715300621,0.3202745153698729,0.33364013160422845,0.2532208625467592,0.33540688114236095,0.2685876770487634
27,2022-04-12 09:32:38.472613,Balanced-Competitive-Selfish,0.3450738693845692,0.3277006387584823,0.32413413962021914,0.33471663576379307,0.2533126284045003,0.3450738693845692,0.27172063621607395
28,2022-04-12 09:33:08.842856,Balanced-Competitive-Selfish,0.3484175479311345,0.33050874869657326,0.32413413962021914,0.33471663576379307,0.25557420928420077,0.3484175479311345,0.2721377984062094
29,2022-04-12 09:33:39.245301,Balanced-Competitive-Selfish,0.3484175479311345,0.32736954995545386,0.3257363687529185,0.3348432172442189,0.26162178865911423,0.3484175479311345,0.28321287417611385
30,2022-04-12 09:34:09.616449,Balanced-Competitive-Selfish,0.3505567066090639,0.3303738745739153,0.32998085564851826,0.3425237460599886,0.25963508064940505,0.3505567066090639,0.28321287417611385
31,2022-04-12 09:34:39.983482,Balanced-Competitive-Selfish,0.3522593610064973,0.32980529933322744,0.338002798599517,0.3459388038972288,0.26184936918886764,0.3522593610064973,0.28321287417611385
32,2022-04-12 09:35:10.392179,Balanced-Competitive-Selfish,0.35503369430103515,0.3385751301292767,0.33888076701425673,0.3463107457466996,0.2627827828374555,0.35503369430103515,0.28321287417611385
33,2022-04-12 09:35:40.729465,Balanced-Competitive-Selfish,0.36274816229451506,0.3385751301292767,0.33888076701425673,0.35028370523566166,0.26184936918886764,0.36274816229451506,0.2830197871351065
34,2022-04-12 09:36:11.084891,Balanced-Competitive-Selfish,0.3653538891736442,0.3417039375500976,0.33888076701425673,0.35028370523566166,0.26184936918886764,0.3653538891736442,0.2830197871351065
35,2022-04-12 09:36:41.450332,Balanced-Competitive-Selfish,0.37443921815147757,0.34204824605509254,0.33839934899007623,0.3520318855703673,0.26184936918886764,0.37443921815147757,0.2835407489671239
36,2022-04-12 09:37:11.854885,Balanced-Competitive-Selfish,0.38218560758996206,0.3429766007346248,0.34269351919033847,0.3520318855703673,0.26184936918886764,0.38218560758996206,0.2835407489671239
37,2022-04-12 09:37:42.212935,Balanced-Competitive-Selfish,0.38519274914513535,0.3480563481529621,0.34269351919033847,0.3520318855703673,0.26636055469859266,0.38519274914513535,0.2835407489671239
38,2022-04-12 09:38:12.562979,Balanced-Competitive-Selfish,0.39007831009435423,0.3449283760572796,0.34269351919033847,0.3521487033866843,0.26184936918886764,0.39007831009435423,0.2835407489671239
39,2022-04-12 09:38:42.963030,Balanced-Competitive-Selfish,0.39007831009435423,0.3449283760572796,0.34269351919033847,0.3548931276150327,0.26534522557157353,0.39007831009435423,0.2835407489671239
40,2022-04-12 09:39:13.327760,Balanced-Competitive-Selfish,0.39007831009435423,0.3449283760572796,0.3456475011882003,0.3548931276150327,0.26534522557157353,0.39007831009435423,0.2835407489671239
41,2022-04-12 09:39:43.657143,Balanced-Competitive-Selfish,0.3908597731704299,0.3429766007346248,0.34599925790565017,0.35783263209603033,0.26534522557157353,0.3908597731704299,0.2908496519642745
42,2022-04-12 09:40:13.993817,Balanced-Competitive-Selfish,0.3908597731704299,0.3429766007346248,0.34599925790565017,0.35783263209603033,0.26534522557157353,0.3908597731704299,0.2908496519642745
43,2022-04-12 09:40:44.356992,Balanced-Competitive-Selfish,0.3826518304737653,0.3429766007346248,0.3446216309106665,0.35783263209603033,0.26534522557157353,0.3826518304737653,0.2908496519642745
44,2022-04-12 09:41:14.709103,Balanced-Competitive-Selfish,0.3908597731704299,0.3429766007346248,0.33979662576726016,0.35783263209603033,0.26534522557157353,0.3908597731704299,0.29155479561354064
45,2022-04-12 09:41:45.092003,Balanced-Competitive-Selfish,0.3908597731704299,0.3429766007346248,0.34824564932146884,0.35783263209603033,0.2663480344096713,0.3908597731704299,0.29155479561354064
46,2022-04-12 09:42:15.403833,Balanced-Competitive-Selfish,0.3924952166729323,0.3442030041813588,0.34824564932146884,0.35978363570377053,0.2663480344096713,0.3924952166729323,0.29263338765999886
47,2022-04-12 09:42:45.814654,Balanced-Competitive-Selfish,0.3876022164444589,0.3442030041813588,0.3420453664155952,0.35978363570377053,0.2663480344096713,0.3876022164444589,0.29263338765999886
