Round,Time,Best Solution Stakeholder,Best Solution Fitness,Time-Competitive-Selfless,Distance-Competitive-Selfless,Distance-Competitive-Selfish,Balanced-Competitive-Selfish,Time-Competitive-Selfish,Balanced-Competitive-Selfless
24,2022-04-24 15:03:18.693587,Balanced-Competitive-Selfish,0.36454483931057663,0.2738658569605428,0.33468294888886435,0.325627495995754,0.36454483931057663,0.3094820895496259,0.32732818998481883
25,2022-04-24 15:03:49.012282,Balanced-Competitive-Selfish,0.36454483931057663,0.2738658569605428,0.3405859953003435,0.33015318556605555,0.36454483931057663,0.31654352885186743,0.32877277966839263
26,2022-04-24 15:04:19.446556,Balanced-Competitive-Selfish,0.3657442807988167,0.27501856058361746,0.34317711018413044,0.3336245663238393,0.3657442807988167,0.3169519200623907,0.3294032791529935
27,2022-04-24 15:04:49.875556,Balanced-Competitive-Selfish,0.3657442807988167,0.27501856058361746,0.34317711018413044,0.3336245663238393,0.3657442807988167,0.32140400595119717,0.3303711321599829
28,2022-04-24 15:05:20.278012,Balanced-Competitive-Selfish,0.3682196191833771,0.27501856058361746,0.34287485822245173,0.3347900014602466,0.3682196191833771,0.32974797923756916,0.3359352522269302
29,2022-04-24 15:05:50.588835,Balanced-Competitive-Selfish,0.3682196191833771,0.27501856058361746,0.34502593632685286,0.3347900014602466,0.3682196191833771,0.32974797923756916,0.3359352522269302
30,2022-04-24 15:06:21.060782,Balanced-Competitive-Selfish,0.3682196191833771,0.2761676429373663,0.34502593632685286,0.3347900014602466,0.3682196191833771,0.3304285595871354,0.3402636778232876
31,2022-04-24 15:06:51.438967,Balanced-Competitive-Selfish,0.3682196191833771,0.2788758496486769,0.34502593632685286,0.3204816781275218,0.3682196191833771,0.33222679832668434,0.3402636778232876
32,2022-04-24 15:07:21.900621,Balanced-Competitive-Selfish,0.3682196191833771,0.28413153256103213,0.3493170866211937,0.34164493603836116,0.3682196191833771,0.33116417528226977,0.3402636778232876
33,2022-04-24 15:07:52.343468,Balanced-Competitive-Selfish,0.37098531925915573,0.2869543735877886,0.3493170866211937,0.3438440033866546,0.37098531925915573,0.33340129112464734,0.3486117897731646
34,2022-04-24 15:08:22.809508,Balanced-Competitive-Selfish,0.37098531925915573,0.2901612917958002,0.3493170866211937,0.3438440033866546,0.37098531925915573,0.33496429445263476,0.3517306807921871
35,2022-04-24 15:08:53.267444,Balanced-Competitive-Selfish,0.3608311752471334,0.28995947462451344,0.3520088501142478,0.3438440033866546,0.3608311752471334,0.33496429445263476,0.352605095082744
36,2022-04-24 15:09:23.627773,Balanced-Competitive-Selfless,0.37209496461066255,0.290649436161933,0.3520088501142478,0.3438440033866546,0.37098531925915573,0.33496429445263476,0.37209496461066255
37,2022-04-24 15:09:54.055055,Balanced-Competitive-Selfless,0.37638828806393776,0.29182522382014964,0.3520088501142478,0.3440241659689289,0.37098531925915573,0.33496429445263476,0.37638828806393776
38,2022-04-24 15:10:24.448748,Balanced-Competitive-Selfless,0.376629082105119,0.29182522382014964,0.3544962161848121,0.34237633540583295,0.3730592697957132,0.33538783443624004,0.376629082105119
39,2022-04-24 15:10:55.130430,Balanced-Competitive-Selfless,0.376629082105119,0.29337053102017224,0.356978683110823,0.34237633540583295,0.3742762844763613,0.33538783443624004,0.376629082105119
40,2022-04-24 15:11:25.565041,Balanced-Competitive-Selfless,0.376740906823599,0.29337053102017224,0.356978683110823,0.34237633540583295,0.3742762844763613,0.33538783443624004,0.376740906823599
41,2022-04-24 15:11:55.978036,Balanced-Competitive-Selfless,0.3774529601021093,0.29381486387567196,0.356978683110823,0.34237633540583295,0.3742762844763613,0.33750184601908856,0.3774529601021093
42,2022-04-24 15:12:26.427479,Balanced-Competitive-Selfless,0.3774529601021093,0.29749488367082016,0.356978683110823,0.34237633540583295,0.3742762844763613,0.3392130772023982,0.3774529601021093
43,2022-04-24 15:12:56.834071,Balanced-Competitive-Selfless,0.38123910466911276,0.29749488367082016,0.356978683110823,0.3425722724770672,0.3742762844763613,0.3392130772023982,0.38123910466911276
44,2022-04-24 15:13:27.224304,Balanced-Competitive-Selfless,0.3910766063113472,0.29749488367082016,0.356978683110823,0.344991031950658,0.3742762844763613,0.3392130772023982,0.3910766063113472
45,2022-04-24 15:13:57.662281,Balanced-Competitive-Selfless,0.3930417992440858,0.29749488367082016,0.3568910383728798,0.344991031950658,0.3742762844763613,0.3392130772023982,0.3930417992440858
46,2022-04-24 15:14:28.076237,Balanced-Competitive-Selfless,0.3930417992440858,0.29492479590916737,0.35813510611873367,0.344991031950658,0.3742762844763613,0.3402026121078943,0.3930417992440858
47,2022-04-24 15:14:58.461580,Balanced-Competitive-Selfless,0.3961306381963779,0.29492479590916737,0.35813510611873367,0.344991031950658,0.3742762844763613,0.3402026121078943,0.3961306381963779
48,2022-04-24 15:15:28.814416,Balanced-Competitive-Selfless,0.3975771945393048,0.29492479590916737,0.35813510611873367,0.344991031950658,0.3625740062609339,0.33918490565409043,0.3975771945393048
49,2022-04-24 15:15:59.601539,Balanced-Competitive-Selfless,0.3975771945393048,0.29492479590916737,0.35813510611873367,0.33264753779455064,0.3742762844763613,0.341005807536492,0.3975771945393048
50,2022-04-24 15:16:29.984044,Balanced-Competitive-Selfless,0.3975771945393048,0.3012482476977362,0.35813510611873367,0.3471576060849207,0.3763914643344898,0.341005807536492,0.3975771945393048
51,2022-04-24 15:17:00.390217,Balanced-Competitive-Selfless,0.3975771945393048,0.30572474490594653,0.35813510611873367,0.3569524098631688,0.37763951509653415,0.341005807536492,0.3975771945393048
52,2022-04-24 15:17:30.904021,Balanced-Competitive-Selfless,0.3975771945393048,0.31083593528139825,0.35813510611873367,0.35626362601442585,0.37763951509653415,0.341005807536492,0.3975771945393048
53,2022-04-24 15:18:01.312491,Balanced-Competitive-Selfless,0.39864823573951513,0.3134953190818984,0.35813510611873367,0.36062740250850894,0.37763951509653415,0.341005807536492,0.39864823573951513
54,2022-04-24 15:18:31.736456,Balanced-Competitive-Selfless,0.39864823573951513,0.3134953190818984,0.3602139148082841,0.3560274413235106,0.37763951509653415,0.3507225418314217,0.39864823573951513
55,2022-04-24 15:19:02.102331,Balanced-Competitive-Selfless,0.40088270614180355,0.3134953190818984,0.3602139148082841,0.3757280923844738,0.37763951509653415,0.3507225418314217,0.40088270614180355
56,2022-04-24 15:19:32.469028,Balanced-Competitive-Selfless,0.40165708985414705,0.3134953190818984,0.36066226707230614,0.3757280923844738,0.37763951509653415,0.3507225418314217,0.40165708985414705
57,2022-04-24 15:20:03.012579,Balanced-Competitive-Selfless,0.40165708985414705,0.3134953190818984,0.36066226707230614,0.374873183187645,0.37763951509653415,0.35329249367489635,0.40165708985414705
58,2022-04-24 15:20:33.510922,Balanced-Competitive-Selfless,0.40165708985414705,0.3134953190818984,0.36066226707230614,0.374873183187645,0.3587220726588444,0.3494091346976491,0.40165708985414705
59,2022-04-24 15:21:03.981198,Balanced-Competitive-Selfless,0.40165708985414705,0.3134953190818984,0.36066226707230614,0.374873183187645,0.37763951509653415,0.3494091346976491,0.40165708985414705
60,2022-04-24 15:21:34.488998,Balanced-Competitive-Selfless,0.40165708985414705,0.3134953190818984,0.36066226707230614,0.374873183187645,0.37763951509653415,0.3494091346976491,0.40165708985414705
